TimeStamp,Iterations[#],Trgt_Address[Byte],Brst_size[#beats],WrittenWords[512b],AVG_RD_BW[Gbit/s],AVG_WR_BW[Gbit/s],AVG_faults[#],PowOfTwoBytes
2021-11-15,2,64,4096,1,1.3009,23.3333,0,6
2021-11-15,2,64,2048,1,1.31148,20,0,6
2021-11-15,2,64,1024,1,1.31148,20,0,6
2021-11-15,2,64,512,1,1.31148,20,0,6
2021-11-15,2,64,256,1,1.31148,20,0,6
2021-11-15,2,64,128,1,1.31148,20,0,6
2021-11-15,2,64,64,1,1.31148,20,0,6
2021-11-15,2,64,32,1,1.31148,20,0,6
2021-11-15,2,64,16,1,1.27112,20,0,6
2021-11-15,2,64,8,1,1.31148,20,0,6
2021-11-15,2,64,4,1,1.31148,20,0,6
2021-11-15,2,64,2,1,1.31148,20,0,6
2021-11-15,2,64,1,1,1.31148,20,0,6
2021-11-15,2,128,4096,2,1.91532,32,0,7
2021-11-15,2,128,2048,2,2.0176,32,0,7
2021-11-15,2,128,1024,2,2.58065,32,0,7
2021-11-15,2,128,512,2,2.58065,32,0,7
2021-11-15,2,128,256,2,2.58065,32,0,7
2021-11-15,2,128,128,2,2.0824,32,0,7
2021-11-15,2,128,64,2,2.58065,32,0,7
2021-11-15,2,128,32,2,2.46679,32,0,7
2021-11-15,2,128,16,2,2.58065,32,0,7
2021-11-15,2,128,8,2,2.52109,32,0,7
2021-11-15,2,128,4,2,2.58065,32,0,7
2021-11-15,2,128,2,2,2.58065,32,0,7
2021-11-15,2,128,1,2,1.31148,32,0,7
2021-11-15,2,256,4096,4,5,45.7143,0,8
2021-11-15,2,256,2048,4,5,45.7143,0,8
2021-11-15,2,256,1024,4,5,45.7143,0,8
2021-11-15,2,256,512,4,4.88806,45.7143,0,8
2021-11-15,2,256,256,4,4.85294,45.7143,0,8
2021-11-15,2,256,128,4,5,45.7143,0,8
2021-11-15,2,256,64,4,5,45.7143,0,8
2021-11-15,2,256,32,4,5,45.7143,0,8
2021-11-15,2,256,16,4,5,45.7143,0,8
2021-11-15,2,256,8,4,5,45.7143,0,8
2021-11-15,2,256,4,4,5,45.7143,0,8
2021-11-15,2,256,2,4,2.58065,32,0,8
2021-11-15,2,256,1,4,1.1548,29.0909,0,8
2021-11-15,2,512,4096,8,9.41176,58.1818,0,9
2021-11-15,2,512,2048,8,9.41176,58.1818,0,9
2021-11-15,2,512,1024,8,9.21292,58.1818,0,9
2021-11-15,2,512,512,8,9.41176,58.1818,0,9
2021-11-15,2,512,256,8,9.41176,58.1818,0,9
2021-11-15,2,512,128,8,9.21292,58.1818,0,9
2021-11-15,2,512,64,8,9.41176,58.1818,0,9
2021-11-15,2,512,32,8,9.41176,58.1818,0,9
2021-11-15,2,512,16,8,9.41176,58.1818,0,9
2021-11-15,2,512,8,8,9.41176,58.1818,0,9
2021-11-15,2,512,4,8,4.96154,45.7143,0,9
2021-11-15,2,512,2,8,2.22852,35.5556,0,9
2021-11-15,2,512,1,8,1.23259,27.8261,0,9
2021-11-15,2,1024,4096,16,16.8421,67.3684,0,10
2021-11-15,2,1024,2048,16,14.8857,67.3684,0,10
2021-11-15,2,1024,1024,16,16.8421,67.3684,0,10
2021-11-15,2,1024,512,16,16.8421,67.3684,0,10
2021-11-15,2,1024,256,16,16.8421,67.3684,0,10
2021-11-15,2,1024,128,16,16.8421,67.3684,0,10
2021-11-15,2,1024,64,16,16.4211,67.3684,0,10
2021-11-15,2,1024,32,16,16.8421,67.3684,0,10
2021-11-15,2,1024,16,16,16.8421,67.3684,0,10
2021-11-15,2,1024,8,16,9.34356,58.1818,0,10
2021-11-15,2,1024,4,16,4.97104,49.2308,0,10
2021-11-15,2,1024,2,16,2.51993,37.6471,0,10
2021-11-15,2,1024,1,16,1.23742,27.234,0,10
2021-11-15,2,2048,4096,32,27.8261,73.1429,0,11
2021-11-15,2,2048,2048,32,27.8261,73.1429,0,11
2021-11-15,2,2048,1024,32,27.8261,73.1429,0,11
2021-11-15,2,2048,512,32,27.8261,73.1429,0,11
2021-11-15,2,2048,256,32,27.3867,73.1429,0,11
2021-11-15,2,2048,128,32,27.8261,73.1429,0,11
2021-11-15,2,2048,64,32,27.8261,73.1429,0,11
2021-11-15,2,2048,32,32,27.8261,73.1429,0,11
2021-11-15,2,2048,16,32,16.8421,67.3684,0,11
2021-11-15,2,2048,8,32,9.37742,60.9524,0,11
2021-11-15,2,2048,4,32,4.73589,51.2,0,11
2021-11-15,2,2048,2,32,2.47897,38.7879,0,11
2021-11-15,2,2048,1,32,1.22402,26.9474,0,11
2021-11-15,2,4096,4096,64,41.2903,76.4179,0,12
2021-11-15,2,4096,2048,64,41.2903,76.4179,0,12
2021-11-15,2,4096,1024,64,41.2903,76.4179,0,12
2021-11-15,2,4096,512,64,41.2903,76.4179,0,12
2021-11-15,2,4096,256,64,37.5988,76.4179,0,12
2021-11-15,2,4096,128,64,41.2903,76.4179,0,12
2021-11-15,2,4096,64,64,40.8026,76.4179,0,12
2021-11-15,2,4096,32,64,25.1184,73.1429,0,12
2021-11-15,2,4096,16,64,14.2311,69.1892,0,12
2021-11-15,2,4096,8,64,9.38596,62.439,0,12
2021-11-15,2,4096,4,64,4.81844,52.2449,0,12
2021-11-15,2,4096,2,64,2.47968,39.3846,0,12
2021-11-15,2,4096,1,64,1.25063,26.8063,0,12
2021-11-15,2,8192,4096,128,54.4681,78.1679,0,13
2021-11-15,2,8192,2048,128,54.4681,78.1679,0,13
2021-11-15,2,8192,1024,128,54.4681,78.1679,0,13
2021-11-15,2,8192,512,128,54.4681,78.1679,0,13
2021-11-15,2,8192,256,128,47.3184,78.1679,0,13
2021-11-15,2,8192,128,128,54.4681,78.1679,0,13
2021-11-15,2,8192,64,128,41.0436,76.4179,0,13
2021-11-15,2,8192,32,128,25.7649,74.2029,0,13
2021-11-15,2,8192,16,128,15.7923,70.137,0,13
2021-11-15,2,8192,8,128,8.93576,63.2099,0,13
2021-11-15,2,8192,4,128,4.74219,52.7835,0,13
2021-11-15,2,8192,2,128,2.48514,39.6899,0,13
2021-11-15,2,8192,1,128,1.24863,26.7363,0,13
2021-11-15,2,16384,4096,256,62.6116,79.0734,0,14
2021-11-15,2,16384,2048,256,64.5054,79.0734,0,14
2021-11-15,2,16384,1024,256,60.2312,79.0734,0,14
2021-11-15,2,16384,512,256,64.8101,79.0734,0,14
2021-11-15,2,16384,256,256,60.5369,79.0734,0,14
2021-11-15,2,16384,128,256,54.2525,78.1679,0,14
2021-11-15,2,16384,64,256,41.1662,76.9925,0,14
2021-11-15,2,16384,32,256,26.8098,74.7445,0,14
2021-11-15,2,16384,16,256,16.6238,70.6207,0,14
2021-11-15,2,16384,8,256,8.96244,63.6025,0,14
2021-11-15,2,16384,4,256,4.73535,53.057,0,14
2021-11-15,2,16384,2,256,2.51396,39.8444,0,14
