TimeStamp,Iterations[#],Trgt_Address[Byte],Brst_size[#beats],WrittenWords[512b],AVG_RD_BW[Gbit/s],AVG_WR_BW[Gbit/s],AVG_faults[#]
2021-11-5,2,4096,64,64,40.96,77.5758,0
2021-11-5,2,1000000000,64,15625000,78.417,77.3042,0
2021-11-5,2,4096,64,64,41.1252,50.4446,0
2021-11-5,2,1000000000,64,15625000,40.086,77.5756,0
2021-11-5,2,4096,64,64,40.9626,3840,16
2021-11-5,2,1000000000,64,15625000,38.9601,77.5757,0
2021-11-5,2,4096,64,64,40.9626,3840,64
2021-11-5,2,1000000000,64,15625000,38.9601,77.5757,0
2021-11-5,2,4096,64,64,40.315,2560,0
2021-11-5,2,1000000000,64,15625000,38.9601,77.5757,0
2021-11-5,2,4096,64,64,40.315,3840,64
2021-11-5,2,1000000000,256,15625000,63.0031,79.3798,0
2021-11-5,2,4096,64,64,41.1252,76.9968,0
2021-11-5,2,4096,64,64,41.2903,76.4179,0
2021-11-5,2,8128,256,127,54.3316,78.1538,0
2021-11-5,2,1000000000,512,15625000,67.6618,79.6887,0
2021-11-5,2,1000000000,256,15625000,63.0406,79.3798,0
2021-11-5,1,3705032704,512,57891136,67.6608,79.6887,0
2021-11-5,2,4096,64,64,40.315,2560,0
2021-11-5,2,1000000000,256,15625000,63.0029,79.3798,0
2021-11-8,2,64,2,1,1.3009,23.3333,0
2021-11-8,2,4096,512,64,41.2903,76.4179,0
2021-11-8,2,8128,512,127,54.3316,78.1538,0
2021-11-8,2,3705032704,512,57891136,67.6607,79.6887,0
2021-11-8,2,2,4,1,1.31148,20,0
2021-11-8,2,64,2,1,1.28008,26.6667,0
2021-11-8,2,4096,512,64,40.96,77.5758,0
2021-11-8,2,8128,512,127,54.0426,78.7597,0
2021-11-8,2,1000000,512,15625,78.0397,79.9898,0
2021-11-8,2,64,2,1,1.31148,20,0
2021-11-8,2,8128,512,127,50.2567,78.1538,0
2021-11-8,2,1000000,512,15625,68.7635,79.6737,0
