TimeStamp,Iteration[#],Trgt_Address[Byte],Brst_size[#beats],WrittenWords[512b],RD_BW[Gbit/s],WR_BW[Gbit/s],faults[#],first_faulty_address[byte],PowOfTwoBytes
2021-11-15,1,64,4096,1,1.29032,26.6667,0,0,6
2021-11-15,2,64,4096,1,1.31148,20,0,0,6
2021-11-15,1,64,2048,1,1.31148,20,0,0,6
2021-11-15,2,64,2048,1,1.31148,20,0,0,6
2021-11-15,1,64,1024,1,1.31148,20,0,0,6
2021-11-15,2,64,1024,1,1.31148,20,0,0,6
2021-11-15,1,64,512,1,1.31148,20,0,0,6
2021-11-15,2,64,512,1,1.31148,20,0,0,6
2021-11-15,1,64,256,1,1.31148,20,0,0,6
2021-11-15,2,64,256,1,1.31148,20,0,0,6
2021-11-15,1,64,128,1,1.31148,20,0,0,6
2021-11-15,2,64,128,1,1.31148,20,0,0,6
2021-11-15,1,64,64,1,1.31148,20,0,0,6
2021-11-15,2,64,64,1,1.31148,20,0,0,6
2021-11-15,1,64,32,1,1.31148,20,0,0,6
2021-11-15,2,64,32,1,1.31148,20,0,0,6
2021-11-15,1,64,16,1,1.23077,20,0,0,6
2021-11-15,2,64,16,1,1.31148,20,0,0,6
2021-11-15,1,64,8,1,1.31148,20,0,0,6
2021-11-15,2,64,8,1,1.31148,20,0,0,6
2021-11-15,1,64,4,1,1.31148,20,0,0,6
2021-11-15,2,64,4,1,1.31148,20,0,0,6
2021-11-15,1,64,2,1,1.31148,20,0,0,6
2021-11-15,2,64,2,1,1.31148,20,0,0,6
2021-11-15,1,64,1,1,1.31148,20,0,0,6
2021-11-15,2,64,1,1,1.31148,20,0,0,6
2021-11-15,1,128,4096,2,2.58065,32,0,0,7
2021-11-15,2,128,4096,2,1.25,32,0,0,7
2021-11-15,1,128,2048,2,1.45455,32,0,0,7
2021-11-15,2,128,2048,2,2.58065,32,0,0,7
2021-11-15,1,128,1024,2,2.58065,32,0,0,7
2021-11-15,2,128,1024,2,2.58065,32,0,0,7
2021-11-15,1,128,512,2,2.58065,32,0,0,7
2021-11-15,2,128,512,2,2.58065,32,0,0,7
2021-11-15,1,128,256,2,2.58065,32,0,0,7
2021-11-15,2,128,256,2,2.58065,32,0,0,7
2021-11-15,1,128,128,2,2.58065,32,0,0,7
2021-11-15,2,128,128,2,1.58416,32,0,0,7
2021-11-15,1,128,64,2,2.58065,32,0,0,7
2021-11-15,2,128,64,2,2.58065,32,0,0,7
2021-11-15,1,128,32,2,2.35294,32,0,0,7
2021-11-15,2,128,32,2,2.58065,32,0,0,7
2021-11-15,1,128,16,2,2.58065,32,0,0,7
2021-11-15,2,128,16,2,2.58065,32,0,0,7
2021-11-15,1,128,8,2,2.58065,32,0,0,7
2021-11-15,2,128,8,2,2.46154,32,0,0,7
2021-11-15,1,128,4,2,2.58065,32,0,0,7
2021-11-15,2,128,4,2,2.58065,32,0,0,7
2021-11-15,1,128,2,2,2.58065,32,0,0,7
2021-11-15,2,128,2,2,2.58065,32,0,0,7
2021-11-15,1,128,1,2,1.31148,32,0,0,7
2021-11-15,2,128,1,2,1.31148,32,0,0,7
2021-11-15,1,256,4096,4,5,45.7143,0,0,8
2021-11-15,2,256,4096,4,5,45.7143,0,0,8
2021-11-15,1,256,2048,4,5,45.7143,0,0,8
2021-11-15,2,256,2048,4,5,45.7143,0,0,8
2021-11-15,1,256,1024,4,5,45.7143,0,0,8
2021-11-15,2,256,1024,4,5,45.7143,0,0,8
2021-11-15,1,256,512,4,5,45.7143,0,0,8
2021-11-15,2,256,512,4,4.77612,45.7143,0,0,8
2021-11-15,1,256,256,4,5,45.7143,0,0,8
2021-11-15,2,256,256,4,4.70588,45.7143,0,0,8
