TimeStamp,Iteration[#],Trgt_Address[Byte],Brst_size[#beats],WrittenWords[512b],RD_BW[Gbit/s],WR_BW[Gbit/s],faults[#],first_faulty_address[byte],PowOfTwoBytes
2021-11-10,1,64,512,1,1.23077,20,0,0,6
2021-11-10,2,64,512,1,1.31148,20,0,0,6
2021-11-10,1,64,256,1,1.31148,20,0,0,6
2021-11-10,2,64,256,1,1.31148,20,0,0,6
2021-11-10,1,64,128,1,1.31148,20,0,0,6
2021-11-10,2,64,128,1,1.25,20,0,0,6
2021-11-10,1,64,64,1,1.31148,20,0,0,6
2021-11-10,2,64,64,1,1.31148,20,0,0,6
2021-11-10,1,64,32,1,1.31148,20,0,0,6
2021-11-10,2,64,32,1,1.31148,20,0,0,6
2021-11-10,1,64,16,1,1.31148,20,0,0,6
2021-11-10,2,64,16,1,1.31148,20,0,0,6
2021-11-10,1,64,8,1,1.31148,20,0,0,6
2021-11-10,2,64,8,1,1.31148,20,0,0,6
2021-11-10,1,64,4,1,1.31148,20,0,0,6
2021-11-10,2,64,4,1,1.31148,20,0,0,6
2021-11-10,1,64,2,1,1.31148,20,0,0,6
2021-11-10,2,64,2,1,1.31148,20,0,0,6
2021-11-10,1,64,1,1,1.31148,20,0,0,6
2021-11-10,2,64,1,1,1.31148,20,0,0,6
2021-11-10,1,128,512,2,2.58065,32,0,0,7
2021-11-10,2,128,512,2,2.58065,32,0,0,7
2021-11-10,1,128,256,2,2.5,32,0,0,7
2021-11-10,2,128,256,2,2.58065,32,0,0,7
2021-11-10,1,128,128,2,2.46154,32,0,0,7
2021-11-10,2,128,128,2,2.58065,32,0,0,7
2021-11-10,1,128,64,2,2.58065,32,0,0,7
2021-11-10,2,128,64,2,2.58065,32,0,0,7
2021-11-10,1,128,32,2,1.42857,32,0,0,7
2021-11-10,2,128,32,2,2.58065,32,0,0,7
2021-11-10,1,128,16,2,2.58065,32,0,0,7
2021-11-10,2,128,16,2,2.58065,32,0,0,7
2021-11-10,1,128,8,2,2.58065,32,0,0,7
